Nombre de Fantasia,Trabajo realizado,Tipo de empresa,Sector,Latitud,Longitud
Consult-ar,Transformación Digital,Micro-Pyme,Servicios,"-34,612064","-58,442710"
Fapym,Transformación Digital,PyME,Metalúrgico,"-34,613213","-58,384204"
La Lucciola Diseño,Sustentabilidad,Micro-Pyme,Servicios,"-34,584607","-58,536374"
Maxxum,Transformación Digital,Micro-Pyme,Servicios,"-34,551214","-58,504275"
Nowe,Transformación Digital,Micro-Pyme,Servicios,"-34,624969","-58,457862"
Pagoda,Sustentabilidad,Micro-Pyme,Gráfico,"-34,866928","-58,615325"
GRIP AUTOMACIÓN,Transformación Digital,PyME,Fabrica,"-34,622048","-58,534474"
Daxa,innovación,PyME,Servicio,"-34,613457","-58,368405"
Diafana,Transformación Digital,Micro-Pyme,Fabrica,"-34,687499","-58,559206"
Zeziola,Transformación Digital,Micro-Pyme,Fabrica,"-34,573855","-58,591225"
Ñata Factory y Lape,Sustentabilidad,PyME,Fabrica,"-34,656346","-58,497614"
OX GRIPS,Transformación Digital,PyME,Fabrica,"-34,621026","-58,573325"
Briqueteado,innovación,PyME,Metalúrgico,"-34,590113","-58,527989"
Arlux,Transformación Digital,Micro-Pyme,Fabrica,"-34,647944","-58,375147"
Cromosol,Transformación Digital,PyME,Fabrica,"-34,464873","-58,712482"
Poliforma,Sustentabilidad,PyME,Fabrica,"-34,841849","-58,424585"
Rotomplast,Transformación Digital,Micro-Pyme,Fabrica,"-34,616015","-58,426978"
SP,innovación,PyME,Metalúrgico,"-34,695796","-58,423713"
TasEme,Transformación Digital,Mediana Tramo 1,Textil,"-34,562857","-58,60605"
TEXTIL VALERIO,Transformación Digital,Micro-Pyme,Fabrica,"-34,612631","-58,554003"
CANTON METALWORK,Transformación Digital,Mediana Tramo 1,Fabrica,"-34,619523","-58,547505"
Dolz,Sustentabilidad,PyME,Alimentos,"-34,587279","-58,548355"
Terepin,Transformación Digital,PyME,Textil,"-34,566698","-58,673416"
Sweet Home,Transformación Digital,PyME,Fabrica,"-34,539101","-58,553212"
Laca Pac,Transformación Digital,Micro-Pyme,Fabrica,"-34,676328","-58,348354"
Segurequi,Transformación Digital,Micro-Pyme,Servicios,"-34,669357","-58,36327"
